pair,source,recent,last_reported,publishers,inventory_at,depth_usd,depth_complete,spread_bps,instrument,assessment,note,evidence_url
SUSN/USD,SUSN_VAULT,True,2026-09-18T09:51:04+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,sUSN vault rate × USN fixed rate,Derived / no book,Shares USN valuation and exit dependencies.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/susn.py
UNIBTC/USD,CHAINLINK,False,2026-07-12T11:31:06+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
UNIBTC/USD,CUSTOM,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Chainlink conversion feed × underlying USD price,Derived / no book,"Ratio/rate input, not executable depth or assured redemption capacity.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
USDC/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,23015350.290875927,True,0.09992755252285561,USDC/USDT spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=USDCUSDT&limit=5000
USDC/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,18549396.090552524,True,0.09992755252285561,USDC/USDT spot,Deeper,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=USDCUSDT&type=step0&limit=200
USDC/USD,BITSTAMP,True,2026-09-18T09:53:42+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,547028.8890732647,True,0.10001250156224017,USDC/USD spot,Deeper,,https://www.bitstamp.net/api/v2/order_book/usdcusd/
USDC/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,12430749.531737195,True,0.9992505620783311,USDC/USDT spot,Deeper,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=USDCUSDT&limit=200
USDC/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,28384626.554442026,True,0.9992505620783311,USDC/USDT spot,Deeper,,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=USDC_USDT&limit=1000
USDC/USD,HUOBI,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,952390.3511530926,True,0.9993504222254435,USDC/USDT spot,Deeper,,https://api.huobi.pro/market/depth?symbol=usdcusdt&type=step0
USDC/USD,KUCOIN,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,4357887.503314978,True,0.9993504222254435,USDC/USDT spot,Deeper,,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=USDC-USDT
USDC/USD,LBANK,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,22179641.960318506,True,0.09992755252285561,USDC/USDT spot,Deeper,,https://api.lbkex.com/v2/depth.do?symbol=usdc_usdt&size=200
USDC/USD,OKX,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,495695.1934367425,True,0.14992616136429032,USDC/USDT perpetual,Deeper,Perpetual contracts; excluded from spot liquidity totals. ,https://www.okx.com/api/v5/market/books?instId=USDC-USDT-SWAP&sz=400
USDT/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,593185.43824,True,0.10008757662909536,USDT/USD spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=USDTUSD&limit=5000
USDT/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,394652.2555347,True,1.9015117018020573,USDT/USD spot,Deeper,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=USDTUSD&type=step0&limit=200
USDT/USD,BITSTAMP,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,2474003.891191153,True,0.10008757662909536,USDT/USD spot,Deeper,,https://www.bitstamp.net/api/v2/order_book/usdtusd/
USDT/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,1508004.438671,True,1.0008507231145374,USDT/USD spot,Deeper,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=USDTUSD&limit=200
USDT/USD,EKUBO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
USDT/USD,PYTH,False,2026-08-26T16:10:16+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
USN/USD,USN_ORACLE,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,USN fixed-rate oracle,Derived / no book,Fixed rate cannot demonstrate secondary-market liquidity or detect a depeg.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/usn.py
WBTC/BTC,BINANCE,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,11345071.34406066,True,1.0005503026674674,WBTC/BTC spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=WBTCBTC&limit=5000
WBTC/BTC,BYBIT,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,1194109.539802193,True,1.0002500625155186,WBTC/BTC spot,Deeper,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=WBTCBTC&limit=200
WBTC/BTC,DEFILLAMA,True,2026-09-18T10:00:52+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 2 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:wrapped-bitcoin
WBTC/BTC,GATEIO,True,2026-09-18T10:00:55+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,,,,WBTC/BTC spot,Unverified,Direct pair unavailable. SDK fallback uses WBTC/USDT divided by BTC/USDT; both leg books are included in the evidence. No direct-pair depth is claimed.,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=WBTC_BTC&limit=1000
WBTC/BTC,KUCOIN,True,2026-09-18T10:00:53+00:00,"[""PRAGMA""]",2026-09-18T10:05:27.439896+00:00,64370.81768784657,True,12.19256253685251,WBTC/BTC spot,Thin,,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=WBTC-BTC
WBTC/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,204317.232358309,True,0.052448497335007734,WBTC/USDT spot,Deeper,,https://api.binance.com/api/v3/depth?symbol=WBTCUSDT&limit=5000
WBTC/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,145535.19523220538,True,9.176360824233925,WBTC/USDT spot,Deeper,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=WBTCUSDT&type=step0&limit=200
WBTC/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,21595.766696801278,True,7.060656410807035,WBTC/USDT spot,Thin,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=WBTCUSDT&limit=200
WBTC/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 2 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:wrapped-bitcoin
WBTC/USD,EKUBO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
WBTC/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,43680.60568777125,True,23.694135829319972,WBTC/USDT spot,Thin,,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=WBTC_USDT&limit=1000
WBTC/USD,KUCOIN,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,27262.838849615626,True,22.297959052850977,WBTC/USDT spot,Thin,,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=WBTC-USDT
WBTC/USD,LBANK,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,153472.7883263061,True,30.0005347187244,WBTC/USDT spot,Deeper,,https://api.lbkex.com/v2/depth.do?symbol=wbtc_usdt&size=200
WSTETH/USD,CHAINLINK_WSTETH,False,2026-07-12T11:31:13+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
WSTETH/USD,CUSTOM,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Chainlink conversion feed × underlying USD price,Derived / no book,"Ratio/rate input, not executable depth or assured redemption capacity.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
WSTETH/USD,LIDO,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Lido wstETH/stETH rate × ETH/USD,Derived / no book,Same contract rate under two labels; count as one valuation dependency. stETH/ETH market discount and exits are separate risks.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/wsteth.py
WSTETH/USD,PYTH,False,2026-08-26T16:13:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
WSTETH/USD,REDSTONE_WSTETH,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,RedStone conversion feed × underlying USD price,Derived / no book,Ratio input; independent liquidation depth and redemption capacity not established.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/redstone.py
WSTETH/USD,WSTETH_RATE,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Lido wstETH/stETH rate × ETH/USD,Derived / no book,Same contract rate under two labels; count as one valuation dependency. stETH/ETH market discount and exits are separate risks.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/wsteth.py
XSTRK/USD,AVNU,True,2026-09-18T09:44:31+00:00,"[""AVNU""]",2026-09-18T09:54:22.380765+00:00,,,,Starknet aggregated market price,Unverified depth,Routed execution quotes are shown separately. They do not reveal the publisher price methodology or establish independence from other DEX aggregators.,https://docs.avnu.fi/api/swap/get-quotes
XSTRK/USD,EKUBO,False,2026-09-08T08:55:02+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
XSTRK/USD,GECKOTERMINAL,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,Top-ranked token pool price,Unverified depth,"Top-pool selection can change. The routed DEX quote below is market context, not a measurement of the exact pool selected by the publisher.",https://apiguide.geckoterminal.com/faq
